dba_name,license_#,facility_type,address,city,state,zip
EFIE'S CANTEEN INC,29570,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
O'HARE BAR,1621425,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
YOLIS TAMALES,2451484,Restaurant,5002 S WESTERN AVE ,CHICAGO,IL,60609.0
ORIGINAL ALPS,1990912,Restaurant,3637 W IRVING PARK RD ,CHICAGO,IL,60618.0
DUNKIN DONUTS,2536557,Restaurant,4644 W DIVERSEY AVE ,CHICAGO,IL,60639.0
"CAFE UTJEHA, INC.",1592606,Restaurant,5350 N LINCOLN AVE ,CHICAGO,IL,60625.0
KITCHEN 17,2529849,Restaurant,3132 N BROADWAY ,CHICAGO,IL,60657.0
WILBUR WRIGHT COLLEGE,2419100,Restaurant,4300 N NARRAGANSETT AVE ,CHICAGO,IL,60634.0
FORK,1276082,Restaurant,4600 N LINCOLN AVE ,CHICAGO,IL,60625.0
ACE HOTEL CHICAGO,2501658,Restaurant,311-319 N MORGAN ST ,CHICAGO,IL,60607.0
THE RADLER,2252564,Restaurant,2375-2377 N MILWAUKEE AVE ,CHICAGO,IL,60647.0
Q-TINE,2327553,Restaurant,2339 N MILWAUKEE AVE ,CHICAGO,IL,60647.0
ALIBABA CAFE,1884323,Restaurant,4044 W LAWRENCE AVE ,CHICAGO,IL,60630.0
SABRI NIHARI,2398070,Restaurant,2500-2502 W DEVON AVE ,CHICAGO,IL,60659.0
HERO COFFEE BAR,2385873,Restaurant,2111 W ROSCOE ST ,CHICAGO,IL,60618.0
CHINESE WOK,2368812,Restaurant,225 E 47TH ST ,CHICAGO,IL,60653.0
THE ATLANTIC BAR & GRILL,12594,Restaurant,5062 N LINCOLN AVE ,CHICAGO,IL,60625.0
CAI,2119915,Restaurant,2100 S ARCHER AVE ,CHICAGO,IL,60616.0
MAYFLOWER RESTAURANT,62297,Restaurant,5240 N PULASKI RD ,CHICAGO,IL,60630.0
FIREFIN POKE SHOP,2522538,Restaurant,500 W MADISON ST ,CHICAGO,IL,60661.0
LA BOMBA RESTAURANT,2231777,Restaurant,3221 W ARMITAGE AVE ,CHICAGO,IL,60647.0
HERO COFFEE,2535860,Restaurant,2111 W ROSCOE ST ,CHICAGO,IL,60618.0
JERK FACTORY,2536458,Restaurant,225 E 47TH ST ,CHICAGO,IL,60653.0
Outback Steakhouse,2088695,Restaurant,8101 W HIGGINS RD ,CHICAGO,IL,60631.0
